gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,spend_vs_expected,n_services,service_density,is_long_tenure,is_new_customer,tenure_x_contract_monthly,charges_per_service,has_security_bundle,payment_auto,Churn
0,0,1,0,-0.6086956521739131,0,0,0,1,0,0,0,0,1,-0.7451701931922723,-0.4040997229916897,0,0,0,0,0,1,0,0.6638792070021875,-1.4090494001944598,1,1.341973507746663,0,1,1,-0.37258509659613614,0,0,0
1,0,0,0,0.10869565217391304,1,0,1,0,1,0,0,0,0,-0.24655013799448008,0.1453813481071099,0,0,1,0,0,0,1,1.337496097621313,-1.5840462356157932,2,8.111907396853212,0,0,0,-0.08218337933149336,1,0,0
1,0,0,0,-0.5869565217391305,1,0,1,1,0,0,0,0,1,-0.3035878564857405,-0.38096398891966754,0,0,0,0,0,0,1,0.6490508646905364,-0.9526387211762769,2,6.587857087876807,0,1,1,-0.1011959521619135,0,0,1
1,0,0,0,0.34782608695652173,0,0,1,0,1,1,0,0,0,-0.516099356025759,0.13097691597414593,0,0,1,0,0,0,0,0.376557550822711,-0.89265690684847,3,5.812822961606846,0,0,0,-0.12902483900643974,1,0,0
0,0,0,0,-0.5869565217391305,1,0,0,0,0,0,0,0,1,0.006439742410303745,-0.3681108033240997,1,0,0,0,0,1,0,0.6271528074791751,-0.6207130650688714,0,0.0,0,1,1,0.006439742410303745,0,0,1
0,0,0,0,-0.45652173913043476,1,1,0,0,1,0,1,1,1,0.5390984360625578,-0.17048199445983378,1,0,0,0,0,1,0,0.37343756777526055,0.16566086828729726,4,7.419781458528245,0,1,1,0.10781968721251156,0,0,1
1,0,0,1,-0.15217391304347827,1,1,0,1,0,0,1,0,1,0.344986200551978,0.16308033240997236,1,0,0,0,1,0,0,-1.0716777982910641,1.416663998843042,3,8.695974793267732,0,0,0,0.0862465501379945,0,1,0
0,0,0,0,-0.41304347826086957,0,0,1,0,0,0,0,0,0,-0.7470101195952161,-0.3237156048014773,0,0,0,0,0,0,1,0.7837344143500534,-1.5307445339452697,1,1.3386681587040783,0,1,1,-0.37350505979760806,0,0,0
0,0,1,0,-0.021739130434782608,1,1,0,0,1,1,1,1,1,0.6338546458141675,0.4871135734072023,1,0,0,0,0,1,0,-22.408255156468506,23.042109802282674,5,7.888231386781541,0,0,0,0.10564244096902792,0,0,1
1,0,0,1,0.717391304347826,1,0,1,1,0,0,0,0,0,-0.26126954921803125,0.6176842105263157,0,0,1,0,0,0,0,0.8610131538668316,-1.122282703084863,2,7.654900278603513,1,0,0,-0.08708984973934375,0,0,0
1,0,1,1,-0.34782608695652173,1,0,1,0,0,0,0,0,1,-0.37534498620055184,-0.23934256694367495,0,0,0,0,0,0,1,0.688111858284658,-1.06345684448521,1,2.6642085882481985,0,1,1,-0.18767249310027592,0,0,0
1,0,0,0,-0.2826086956521739,1,0,0,0,0,0,0,0,0,-0.9457221711131554,-0.3163582640812558,0,1,0,1,1,0,0,1.1194255108700975,-2.0651476819832526,0,0.0,0,0,0,-0.9457221711131554,0,1,0
1,0,1,0,0.6304347826086957,1,1,0,0,1,0,1,1,0,0.5519779208831648,1.2657063711911358,1,0,1,0,1,0,0,2.0076689904144374,-1.4556910695312726,4,7.246653538146005,1,0,0,0.11039558417663295,0,1,0
1,0,0,0,0.43478260869565216,1,1,0,1,1,0,1,1,1,0.613615455381785,1.0751837488457987,1,0,0,0,0,0,0,2.4729169346363875,-1.8593014792546025,5,8.148412507759522,1,0,0,0.10226924256363083,0,0,1
1,0,0,0,-0.08695652173913043,1,0,1,0,1,1,1,1,1,0.6467341306347748,0.3807423822714682,1,0,0,0,0,1,0,-4.378587749881008,5.025321880515783,5,7.731140250712014,0,0,0,0.10778902177246247,1,0,0
0,0,1,1,0.8695652173913043,1,1,1,1,1,1,1,1,0,0.7893284268629257,1.9199039704524468,1,0,0,1,1,0,0,2.2078870269502326,-1.418558600087307,7,8.868287133067463,1,0,0,0.09866605335786571,1,1,0
0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,-0.9144434222631095,-0.11066297322252996,0,1,1,0,0,0,1,-0.22132550379405233,-0.6931179184690571,0,0.0,1,0,0,-0.9144434222631095,0,0,0
